Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
"Borba, Joseph","23480 West Williams Avenue, Hilmar, CA 95324",JB Dairy,"10860 South Ingomar Grade Road, Gustine, CA 95322",37.13011,-120.94892,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00092,null,null,06/29/2007,null,10/02/2018,null,null,A,1,600,Mature dairy cattle,null,2,2,NA
"Borba, Larry & Robert","5631 Whitworth Road, Gustine, CA 95322",Antonio Sousa Dairy,"5672 Whitworth Road, Gustine, CA 95322",37.1987,-121.03084,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00101,null,null,06/29/2007,null,10/02/2018,null,null,A,1,800,Heifers (non dairy affiliated),null,0,0,NA
"Borba, Luis","7215 South Prairie Flower Road, Turlock, CA 95380",Williams Ranch,"22121 Williams Avenue, Hilmar, CA 95324",37.38874,-120.88959,Animal Feeding Facility,0241,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00431,null,null,10/17/2019,null,10/16/2024,null,null,null,null,1000,Heifers (non dairy affiliated),584,0,0,NA
"Borba, Luis & Maria","2215 South Prairie Flower Road, Turlock, CA 95380",Lumar Dairy Farms,"7215 South Prairie Flower Road, Turlock, CA 95380",37.423154,-120.931343,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00269,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2100,Mature dairy cattle,null,0,0,NA
"Borba, Mike","22014 Turner Avenue, Hilmar, CA 95324",B-6 Dairy,"22014 Turner Avenue, Hilmar, CA 95324",37.37203,-120.88788,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00156,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1870,Mature dairy cattle,null,0,0,NA
"Borba, Vitor","7721 Flint Avenue, Hanford, CA 93230",Vitor Borba Dairy,"7721 Flint Avenue, Hanford, CA 93230",36.37136,-119.59504,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00042,null,null,06/29/2007,null,10/02/2018,null,null,A,1,776,Mature dairy cattle,null,0,0,NA
Bordessa Family Dairies,"Po Box 397, Valley Ford, CA 94972",Bordessa Dairy,"14055 Valley Ford Estero Road, Valley Ford, CA 94972",38.318385,-122.930183,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11131DSON,null,null,03/17/2020,null,11/30/2029,null,null,null,null,296,Mature dairy cattle,null,0,0,NA
"Borges, Antero","2260 Hull Avenue, Atwater, CA 95301",Antero Borges Dairy,"2226 Hull Road, Atwater, CA 95301",37.245123,-120.652019,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00313,null,null,06/29/2007,null,10/02/2018,null,null,A,1,330,Mature dairy cattle,null,0,0,NA
"Borges, Candido","5148 Grayson Road, Modesto, CA 95358",Borges Farms,"5148 West Grayson Road, Modesto, CA 95358",37.56587148,-121.0882939,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00117,null,null,06/29/2007,null,10/02/2018,null,null,A,1,885,Mature dairy cattle,null,0,0,NA
"Borges, Candido","5148 Grayson Road, Modesto, CA 95358",Borges Farms,"4113 West Keyes Road, Modesto, CA 95358",37.55331,-121.06905,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00432,null,null,04/10/2019,null,null,null,null,A,1,75,Heifers (non dairy affiliated),54.8,0,0,NA
"Borges, David (Manuel & Vitalena)","16371 Road 136, Tipton, CA 93272",Borges Dairy,"16371 Road 136, Tipton, CA 93272",36.08681,-119.26844,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545114001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1720,Mature dairy cattle,null,1,0,NA
"Borges, Frank J","1518 Thunderbird Drive, Modesto, CA 95356",Frank J Borges Dairy,"8350 East Brady Avenue, Manteca, CA 95337",37.728518,-121.205488,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B395027001,null,null,03/23/1990,null,10/02/2018,0,null,C,1,1490,Mature dairy cattle,null,0,0,NA
"Borges, Frank J","1518 Thunderbird Drive, Modesto, CA 95356",Frank J. Borges Dairy North,"5944 County Rd 17, Orland, CA 95963",39.73904,-122.26203,Animal Feeding Facility,0241,Glenn,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A11NC00017,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1744,Mature dairy cattle,null,0,0,NA
"Borges, John & Teresa","25834 Kasson Road, Tracy, CA 95376",John Borges Dairy,"25834 Kasson Road, Tracy, CA 95304",37.7309,-121.33118,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00148,null,null,06/29/2007,null,10/02/2018,null,null,A,1,480,Mature dairy cattle,null,0,0,NA
"Borges, Manuel","17463 East Gawne, Stockton, CA 95205",Manuel & Jeannette Borges Dairy #2,"17463 East Gawne Road, Stockton, CA 95215",37.89602,-121.09836,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00135,null,null,06/29/2007,null,10/02/2018,null,null,A,1,310,Mature dairy cattle,null,0,0,NA
"Borges, Manuel & Jeannette","18355 Munro Avenue, Stockton, CA 95215",Manuel & Jeannette Borges Dairy,"10408 South Van Allen Road, Stockton, CA 95215",37.87293,-121.05238,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00141,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1320,Mature dairy cattle,null,0,0,NA
"Borges, Maria L","12606 North Vincent Road, Turlock, CA 95380",Maria Borges Farms,"12606 North Vincent Road, Turlock, CA 95380",37.47141,-120.77153,Animal Feeding Facility,0241,Merced,5S,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,R5-2017-0058,5B24NC00419,null,null,04/03/2019,null,null,null,null,null,null,198,Heifers (non dairy affiliated),155.6,0,0,NA
"Bos, Gary & Leslie","20397 Road 152, Tulare, CA 93274",Bos Farms LP,"20397 Road 152, Tulare, CA 93274",36.15856,-119.23591,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545061001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3861,Mature dairy cattle,null,0,0,NA
"Bos, John & Alice","4524 Milnes Road, Modesto, CA 95357",John Bos Dairy,"4524 Milnes Road, Modesto, CA 95357",37.68166244,-120.9122712,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00143,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,1,0,NA
"Bos, John & Andi Bos","15857 Bear Mountain Boulevard, Bakersfield, CA 93311",AJB Ranch Dairy,"28724 Stockdale Hwy, Bakersfield, CA 93314",35.35837,-119.320853,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155058N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,4543,Mature dairy cattle,null,0,0,NA
"Bos, John & Andi Bos","15857 Bear Mountain Boulevard, Bakersfield, CA 93311",Maple Dairy,"15857 Bear Mountain Boulevard, Bakersfield, CA 93311",35.206374,-119.178508,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155058002,null,null,06/29/2007,null,10/02/2018,null,null,null,null,7320,Mature dairy cattle,null,1,1,NA
"Bos, Petronella C","4301 South Dickenson Avenue, Fresno, CA 93706",Kerman Cattle Company,"4301 South Dickenson Avenue, Fresno, CA 93706",36.67213583,-119.9695017,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00096,null,null,06/29/2007,null,10/02/2018,null,null,A,1,846,Mature dairy cattle,null,0,2,NA
"Bosch, Bud","13567 Whispering Lakes Lane, Ontario, CA 91761",Bosch Dairy,"13567 Whispering Lakes Lane, Ontario, CA 91761",34.00743,-117.60655,Animal Feeding Facility,0241,San Bernardino,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 365566001,CAG018001,null,03/13/1981,null,03/15/2024,.0001,Minor,C,2,560,Mature dairy cattle,null,0,0,NA
"Bosch, Bud","13567 Whispering Lakes Lane, Ontario, CA 91761",Bosch Dairy #2,"9029 Schaefer Avenue, Ontario, CA 91761",34.004778,-117.606881,Animal Feeding Facility,0241,San Bernardino,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 365996001,CAG018001,null,08/14/2012,null,03/15/2024,null,null,null,null,560,Mature dairy cattle,null,0,0,NA
Boschma Family Trust,"9032 Etchart Road, Bakersfield, CA 93314",Boschma & Sons Dairy,"24794 Sherwood Avenue, Wasco, CA 93280",35.675901,-119.528597,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C15NC00019,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2815,Mature dairy cattle,null,1,0,NA
"Bosman, Clarence","6802 Avenue 120 # A, Tipton, CA 93272",Meadowlake Dairy,"6802 Avenue 120, Tipton, CA 93272",36.01674,-119.42204,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545093001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,8880,Mature dairy cattle,null,0,0,NA
"Bottasso Farms, LLC","3221 South Chateau Fresno Avenue, Fresno, CA 93706","Kiss Cattle, LLC","2585 South Chateau-Fresno, Fresno, CA 93706",36.69715,-119.935319,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00068,null,null,06/29/2007,null,10/02/2018,null,null,A,1,7663,Calf feedlots,null,0,0,NA
"Bouma, Peter","1500 South Haven Avenue 200, Ontario, CA 91761",P & D Dairy #3,"13905 Bon View Avenue, Ontario, CA 91762",33.999927,-117.636825,Animal Feeding Facility,0241,San Bernardino,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 365994001,CAG018001,null,06/25/2012,null,03/15/2024,null,null,null,null,1200,Heifers (non dairy affiliated),null,1,1,NA
"Bouma, Peter","1500 South Haven Avenue 200, Ontario, CA 91761",Poso Creek Family Dairy,"13437 Gun Club Road, Wasco, CA 93280",35.663324,-119.510037,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155061002,null,null,06/29/2007,null,10/02/2018,null,null,null,null,6033,Mature dairy cattle,null,1,1,NA
Boys Republic,"1907 Boys Republic, Chino Hills, CA 91709",Boys Republic Farm,"1907 Boys Republic Drive, Chino Hills, CA 91709",33.99642,-117.72365,Animal Feeding Facility,0241,San Bernardino,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 365989001,CAG018001,null,04/28/2011,null,03/15/2024,null,Minor,null,null,159,Cattle or cow/calf pairs,null,1,1,NA
"Branco, Joe & Cathy","Po Box 666, Hilmar, CA 95324",Vierra Dairy LLC #4,"7965 Washington Road, Hilmar, CA 95324",37.40419,-120.90492,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00159,null,null,06/29/2007,null,10/02/2018,null,null,A,1,520,Mature dairy cattle,null,0,0,NA
"Brandenberg, Bill","903 West Hwy 98, Calexico, CA 92231",Brandenberg Feedyard,"903 West Hwy 98, Calexico, CA 92231",32.6794,-115.6125,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777018,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,0,Cattle or cow/calf pairs,null,0,0,NA
Brandt Company Inc,"Po Box 118, Brawley, CA 92227","Brandt Company, Inc","7015 Brandt Road, Calipatria, CA 92233",33.1635,-115.562598,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777016,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,138891,Cattle or cow/calf pairs,null,0,0,NA
Brasil & Sons Dairy,"21728 East Lone Tree Road, Escalon, CA 95320",Wagner Dairy #2,"20623 East Lone Tree Road, Escalon, CA 95320",37.827505,-121.044318,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00080,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1100,Mature dairy cattle,null,0,0,NA
Brasil & Sons Dairy,"21728 East Lone Tree Road, Escalon, CA 95320",Brasil and Sons Dairy No 2,"21768 East Lone Tree Road, Escalon, CA 95320",37.82724,-121.04401,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00079,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,0,NA
"Brasil, A & E","15373 South Flanagan Road, Dos Palos, CA 93620",Antonio Brasil Dairy,"15373 South Flanagan Road, Dos Palos, CA 93620",37.06268,-120.52861,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00201,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2531,Mature dairy cattle,null,1,1,NA
"Brasil, Carl","2430 West Crescent Drive, Visalia, CA 93274",F M Ranch #5,"14913 Road 80, Tipton, CA 93727",36.06089,-119.39596,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00249,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1575,Mature dairy cattle,null,0,0,NA
"Brasil, Carl","2430 West Crescent Drive, Visalia, CA 93274",AC Enterprises Dairy,"15499 Road 72, Tipton, CA 93272",36.07042,-119.4137,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00210,null,null,06/29/2007,null,10/02/2018,null,null,A,1,560,Mature dairy cattle,null,0,0,NA
"Brasil, Danny","3318 Moffet Road, Turlock, CA 95380",J-D Brasil Dairy,"5600 Clayton Road, Turlock, CA 95380",37.47989,-120.91512,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00103,null,null,06/29/2007,null,10/02/2018,null,null,A,1,385,Mature dairy cattle,null,0,0,NA
"Brasil, Edwin & Lillian","29130 Road 56, Visalia, CA 93277",JNA Brasil Dairy,"6323 Avenue 280, Visalia, CA 93277",36.29631,-119.43118,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00024,null,null,06/29/2007,null,10/02/2018,null,null,A,1,685,Mature dairy cattle,null,1,2,NA
"Brasil, Edwin & Lillian","29130 Road 56, Visalia, CA 93277",Brasil's Udder Dairy,"28723 Road 56, Visalia, CA 93277",36.31107,-119.44991,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00023,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1200,Mature dairy cattle,null,1,1,NA
"Brasil, Edwin & Lillian","29130 Road 56, Visalia, CA 93277",Edwin Brasil Dairy,"29134 Road 56, Visalia, CA 93277",36.31854,-119.44686,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545107001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1925,Mature dairy cattle,null,0,0,NA
"Brasil, John","8400 West Linwood Avenue, Turlock, CA 95380",Diamond B Dairy,"3137 East Tuolumne Road, Ceres, CA 95307",37.51451,-120.9356,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00300,null,null,06/29/2007,null,10/02/2018,null,null,null,null,663,Mature dairy cattle,null,2,2,NA
"Brasil, John & Maria","2613 South Mitchell Road, Turlock, CA 95380",John Brasil & Sons Dairy,"2613 South Mitchell Road, Turlock, CA 95380",37.468673587,-120.9400910977,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00259,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1290,Mature dairy cattle,null,2,2,NA
"Brasil, John & Maria","2613 South Mitchell Road, Turlock, CA 95380",John Brasil & Sons Dairy #2,"9018 West Linwood Avenue, Turlock, CA 95380",37.4783349,-120.9522951,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00248,null,null,06/29/2007,null,10/02/2018,null,null,A,1,818,Mature dairy cattle,null,0,0,NA
"Brasil, John & Maria","2613 South Mitchell Road, Turlock, CA 95380",John Brasil Dairy #3,"1707 South Mitchell Road, Turlock, CA 95380",37.476966977,-120.9401608352,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00260,null,null,06/29/2007,null,10/02/2018,null,null,A,1,620,Mature dairy cattle,null,2,2,NA
"Brasil, Michael","18246 First Avenue, Stevinson, CA 95374","Borba Cattle Company, LP","18254 First Avenue, Stevinson, CA 95374",37.34393,-120.83146,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00264,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1865,Mature dairy cattle,null,1,1,NA
"Brasil, Michael","18246 First Avenue, Stevinson, CA 95374",Michael Brasil Dairy #2,"4971 Van Clief Road, Stevinson, CA 95374",37.3597,-120.83239,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00275,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,0,NA
"Brasil, Rui & Jennifer","8061 Avenue 360, Visalia, CA 93274",Rui and Jennifer Brasil Dairy,"8061 Avenue 360, Visalia, CA 93291",36.44258,-119.39234,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545103001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,995,Mature dairy cattle,null,1,1,NA
Brazil Dairy,"3375 Springhill Road, Petaluma, CA 94952",Brazil Dairy,"3375 Spring Hill Rd., Petaluma, CA 94952",38.238467,-122.746793,Animal Feeding Facility,null,Sonoma,2,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,r2-2016-0031,D-49-0020,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,290,Mature dairy cattle,null,0,1,NA
"Brazil, Anthony B","11535 Henry Road, Escalon, CA 95320",A. B. Brazil Dairy,"18338 East Mariposa Road, Stockton, CA 95215",37.88055,-121.09111,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00138,null,null,06/29/2007,null,10/02/2018,null,null,A,1,625,Mature dairy cattle,null,0,0,NA
"Brazil, Edwin, Lillian, & Manuella","29130 Road 56, Visalia, CA 93277",CSJ Dairy,"3604 Houston Avenue, Hanford, CA 93230",36.299111,-119.521496,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00078,null,null,06/29/2007,null,10/02/2018,null,null,A,1,780,Mature dairy cattle,null,0,3,NA
"Brazil, Mike & Brazil, Brandon","Po Box 91, Ferndale, CA 95536",Brazil Dairy #2,"245 Renner Lane, Ferndale, CA 95536",40.577802,-124.181122,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12038DHUM,null,null,12/27/2021,null,11/30/2029,null,null,null,null,280,Mature dairy cattle,null,0,0,NA
Brent and Alysse Aukeman,"18017 Road 96, Tulare, CA 93274",Elk Creek Dairy,"17993 ROAD 96, Tulare, CA 93274",36.11649,-119.35799,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00218,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1323,Mature dairy cattle,null,0,0,NA
"Brian James Jongsma, Brian James Jongsma Dairy","Drawer J, Pixley, CA 93255",Brian James Jongsma Dairy,"16026 Road 64 Road, Tipton, CA 93272",36.08256,-119.42687,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165047002,null,null,06/29/2007,null,10/02/2018,null,null,null,1,2148,Mature dairy cattle,null,0,0,NA
Brian Wind & Maynard Troost,"18346 Old River Road, Bakersfield, CA 93311",T & W Farms #2 Dairy,"5959 Houghton Road, Bakersfield, CA 93313",35.23836,-119.066752,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C15NC00039,null,null,06/29/2007,null,10/02/2018,null,null,A,1,960,Mature dairy cattle,null,0,0,NA
Brian Wind & Maynard Troost,"18346 Old River Road, Bakersfield, CA 93311",T & W Farms Dairy,"18346 Old River Road, Bakersfield, CA 93311",35.188587,-119.106794,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C15NC00047,null,null,06/29/2007,null,10/02/2018,null,null,A,1,4987,Mature dairy cattle,null,0,0,NA
Brichetto Brothers,"Po Box 11600, Oakdale, CA 95361",Brichetto Brothers,"5254 Langworth Road, Oakdale, CA 95361",37.71473,-120.88937,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00307,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1,Heifers (non dairy affiliated),null,0,0,NA
"Brichetto, John & Elizabeth","Po Box 11600, Oakdale, CA 95361",Brichetto Cattle Company,"6155 Bentley Road, Oakdale, CA 95361",37.72871,-120.8669,Animal Feeding Facility,02,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00438,null,null,04/08/2019,null,null,null,null,null,null,240,Calf feedlots,2183,1,1,NA
"Brindeiro, Eleanor","5612 Hultberg Road, Turlock, CA 95380",Wickstrom Dairy Inc,"5612 Hultberg Road, Turlock, CA 95380",37.43929,-120.89395,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00243,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,0,NA
"Brindeiro, Yvonna","Po Box 3849, Turlock, CA 95381",Azevedo Farms,"5225 South Tegner Road, Turlock, CA 95380",37.443166,-120.885632,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00279,null,null,09/03/2021,null,09/02/2026,null,null,A,1,700,Heifers (non dairy affiliated),581,1,1,NA
"Brindiero, James & Danbom, Paul","5831 South Tegner Road, Turlock, CA 95380",Brindiero & Danbom Dairy Farms,"5831 South Tegner Road, Turlock, CA 95380",37.43924,-120.88591,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00278,null,null,06/29/2007,null,10/02/2018,null,null,A,1,720,Mature dairy cattle,null,1,3,NA
Brodt Dairy East,"Po Box 1113, Ferndale, CA 95536",Brodt Dairy East,"439 Fulmor Road, Ferndale, CA 95536",40.601659,-124.249985,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B00138DHUM,null,null,01/13/2020,null,11/30/2029,null,null,null,null,370,Mature dairy cattle,null,0,0,NA
Brodt Dairy West,"Po Box 1113, Ferndale, CA 95536",Brodt Dairy West,"1000 Bertelsen Lane, Ferndale, CA 95536",40.600938,-124.262111,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12010DHUM,null,null,01/14/2020,null,11/30/2029,null,null,null,null,200,Mature dairy cattle,null,0,0,NA
"Brown, Jeff","14803 Grangeville Boulevard, Hanford, CA 93230",Mello D Jerseys,"14803 Grangeville Boulevard, Hanford, CA 93230",36.342606,-119.725596,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00071,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1000,Mature dairy cattle,null,1,1,NA
"Brown, Randy","8550 15th Avenue, Hanford, CA 93230",Mello D Jerseys,"14803 Grangeville Boulevard, Hanford, CA 93230",36.342606,-119.725596,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00071,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1000,Mature dairy cattle,null,1,1,NA
Brownie B. Investments,"984 East Topeka Street, Pasadena, CA 91104",Kemper Road Ranch,"7231 Kemper Road, Modesto, CA 95357",37.69281507,-120.8607138,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00406,null,null,04/08/2019,null,null,null,null,null,null,950,Calf feedlots,332.5,0,0,NA
"Brunner, Doug","8002 South Bliss Road, Chowchilla, CA 93610",De Jager Dairy So.,"8002 South Bliss Road, Chowchilla, CA 93610",37.17073,-120.37766,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00036,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3365,Mature dairy cattle,null,0,0,NA
Bullfrog Dairy LLC,"Po Box 77, Brawley, CA 92227",Bullfrog Farms,"2338 West Payne Road, Imperial, CA 92273",32.8602,-115.73921,Animal Feeding Facility,0241,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777034,CAG017001,null,06/25/2008,null,03/31/2027,null,Minor,C,2,2800,Mature dairy cattle,null,0,0,NA
"Burroughs, Bruce R","22312 East Monte Vista Avenue, Denair, CA 95316",Sierra Vista Dairy LP,"22426 East Monte Vista Avenue, Denair, CA 95316",37.51533,-120.59018,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00045,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1628,Mature dairy cattle,null,0,0,NA
