facility_name,facility_address,latitude,longitude,county,cafo_population,cafo_subtype,type,milking,other,total,enteric_methane,manure_methane,total_methane,project_id_number,sub_program_name,project_life_years,date_operational,annual_project_ghg_reductions,adjusted_manure_methane,adjusted_total_methane,labeltext,mitigation
SBS AG Dairy,"7123 Avenue 204, Tulare, CA 93274",36.15869,-119.41253,Tulare,1315,Mature dairy cattle,Dairy,1315,1438,2753,273.502,88.351,362,18-0448-000-AM,Alternative Manure Management Program,5,2019-06-30,63.096000000000004,25.254999999999995,299,<b>Name: </b>SBS AG Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>299 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Flint Dairy,"6511 Flint Avenue, Hanford, CA 93230",36.368783,-119.574491,Kings,2700,Mature dairy cattle,Dairy,2700,2953,5653,561.592,181.406,743,19-0887-000-SO,Dairy Digester Research and Development Program,10,2021-12-31,507.96,0,562,<b>Name: </b>Flint Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>562 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
"Wilgenburg West, LLC","7442 7th Avenue, Hanford, CA 93230",36.36009,-119.589712,Kings,1150,Heifers (non dairy affiliated),Other,0,1150,1150,73.6,2.3,76,18-0449-000-AM,Alternative Manure Management Program,5,2019-03-12,34.608000000000004,0,74,"<b>Name: </b>Wilgenburg West, LLC</br><b>Type: </b>Other</br><b>Methane emissions: </b>74 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project",Manure management
J & D Wilson & Sons Dairy,"11720 West Mt. Whitney Avenue, Riverdale, CA 93656",36.431401,-120.008143,Fresno,3350,Mature dairy cattle,Dairy,3350,3664,7014,696.796,235.12800000000001,932,20-1029-000-SO,Dairy Digester Research and Development Program,10,2023-01-31,826.98,0,697,<b>Name: </b>J & D Wilson & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>697 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Wreden Ranch Dairy,"8749 Lansing Avenue, Hanford, CA 93230",36.195756,-119.605755,Kings,6150,Mature dairy cattle,Dairy,6150,6726,12876,1279.164,413.202,1692,17-0490-000-DD,Dairy Digester Research and Development Program,10,2020-03-31,1575.66,0,1279,"<b>Name: </b>Wreden Ranch Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,279 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
Zuppan Dairy,"4740 County Rd QQ, Orland, CA 95963",39.72028,-122.10438,Glenn,525,Mature dairy cattle,Dairy,525,574,1099,109.186,35.273,144,18-0457-000-AM,Alternative Manure Management Program,5,2019-07-31,32.472,2.801000000000002,112,<b>Name: </b>Zuppan Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>112 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Andrew Zylstra Dairy Inc. #1,"2655 West Monte Vista Avenue, Modesto, CA 95351",37.52263963,-121.0427553,Stanislaus,1350,Mature dairy cattle,Dairy,1350,1476,2826,280.764,90.702,371,18-0462-000-AM,Alternative Manure Management Program,5,2020-08-31,49.248000000000005,41.45399999999999,322,<b>Name: </b>Andrew Zylstra Dairy Inc. #1</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>322 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Zylstra Andrew Dairy #2,"7801 Carpenter Road, Modesto, CA 95358",37.52507508,-121.0308946,Stanislaus,750,Mature dairy cattle,Dairy,750,820,1570,155.98,50.39,206,19-0920-000-SO,Alternative Manure Management Program,5,2021-05-01,27.76,22.63,179,<b>Name: </b>Zylstra Andrew Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>179 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Van Beek Brothers Dairy,"14808 Road 152, Tipton, CA 93272",36.06045,-119.2294,Tulare,2825,Mature dairy cattle,Dairy,2825,3089,5914,587.546,198.278,786,,,,,,198.278,786,<b>Name: </b>Van Beek Brothers Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>786 metric tons,—
"3R Land and Development, LLC feedlot","11571 Avenue 120, Pixley, CA 93256",36.007211,-119.325264,Tulare,200,Calf feedlots,Other,0,200,200,12.8,0.4,13,,,,,,0.4,13,"<b>Name: </b>3R Land and Development, LLC feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>13 metric tons",—
Kevin Ranch,"21 South Van Clief Road, Stevinson, CA 95374",37.28437,-120.83339,Merced,400,Calf feedlots,Other,0,400,400,25.6,0.8,26,,,,,,0.8,26,<b>Name: </b>Kevin Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>26 metric tons,—
Arthur Vitoria Dairy,"14018 Crows Landing Road, Crows Landing, CA 95313",37.4324,-121.01243,Stanislaus,1023,Mature dairy cattle,Dairy,1023,1119,2142,212.79000000000002,68.733,282,,,,,,68.733,282,<b>Name: </b>Arthur Vitoria Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>282 metric tons,—
A & M Farms Dairy,"10350 West Manning Avenue, Fresno, CA 93706",36.60686,-119.978169,Fresno,2236,Mature dairy cattle,Dairy,2236,2445,4681,465.048,120.95299999999999,586,,,,,,120.95299999999999,586,<b>Name: </b>A & M Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>586 metric tons,—
Da Silva LP Brennan Road,"14089 South Brennan Road, Escalon, CA 95320",37.83398,-121.02081,San Joaquin,500,Heifers (non dairy affiliated),Other,0,500,500,32,1,33,,,,,,1,33,<b>Name: </b>Da Silva LP Brennan Road</br><b>Type: </b>Other</br><b>Methane emissions: </b>33 metric tons,—
HD Ranch,"7755 Midway Road, Dixon, CA 95620",38.416163,-121.744673,Solano,3888,Mature dairy cattle,Dairy,3888,4252,8140,808.672,261.224,1070,,,,,,261.224,1070,"<b>Name: </b>HD Ranch</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,070 metric tons",—
Barrera Feedlot,"1666 West Main Street, Crows Landing, CA 95380",37.49133,-121.0166,Stanislaus,275,Calf feedlots,Other,0,275,275,17.6,0.55,18,,,,,,0.55,18,<b>Name: </b>Barrera Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>18 metric tons,—
Ag Recycle Inc,"35253 West Shaw Avenue, Firebaugh, CA 93622",36.807113,-120.426142,Fresno,4236,Heifers (non dairy affiliated),Other,0,4236,4236,271.104,8.472,280,,,,,,8.472,280,<b>Name: </b>Ag Recycle Inc</br><b>Type: </b>Other</br><b>Methane emissions: </b>280 metric tons,—
"Nicholas Calf Ranch, LLC","10916 North Amsterdam Road, Winton, CA 95388",37.454725,-120.539379,Merced,11195,Calf feedlots,Other,0,11195,11195,716.48,22.39,739,,,,,,22.39,739,"<b>Name: </b>Nicholas Calf Ranch, LLC</br><b>Type: </b>Other</br><b>Methane emissions: </b>739 metric tons",—
Neves Dairy,"16831 Jackson Avenue, Lemoore, CA 93245",36.254476,-119.759683,Kings,410,Mature dairy cattle,Dairy,410,448,858,85.252,27.546,113,,,,,,27.546,113,<b>Name: </b>Neves Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>113 metric tons,—
Westwind Dairy,"6921 Bear Mountain Boulevard, Bakersfield, CA 93313",35.208109,-119.081286,Kern,1285,Mature dairy cattle,Dairy,1285,1405,2690,267.25,97.9,365,,,,,,97.9,365,<b>Name: </b>Westwind Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>365 metric tons,—
Adams Dairy,"16661 South Fowler Avenue, Selma, CA 93662",36.492168,-119.684728,Fresno,80,Mature dairy cattle,Dairy,80,87,167,16.607999999999997,5.3740000000000006,22,,,,,,5.3740000000000006,22,<b>Name: </b>Adams Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>22 metric tons,—
Affentranger & Sons Dairy,"18107 Kratzmeyer Avenue, Bakersfield, CA 93314",35.418107,-119.202022,Kern,1550,Mature dairy cattle,Dairy,1550,1695,3245,322.38,118.09,440,,,,,,118.09,440,<b>Name: </b>Affentranger & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>440 metric tons,—
Aggio Dairy Inc.,"5915 Hall Road, Santa Rosa, CA 95401",38.43927,-122.82594,Sonoma,280,Mature dairy cattle,Dairy,280,306,586,58.224000000000004,15.145999999999999,73,,,,,,15.145999999999999,73,<b>Name: </b>Aggio Dairy Inc.</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>73 metric tons,—
Monte Vista Feedlot,"936 West Monte Vista, Ceres, CA 95307",37.52032,-121.00822,Stanislaus,200,Heifers (non dairy affiliated),Other,0,200,200,12.8,0.4,13,,,,,,0.4,13,<b>Name: </b>Monte Vista Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>13 metric tons,—
Blue Sky Dairy #2,"3874 North Franklin Road, Merced, CA 95348",37.34412,-120.53714,Merced,300,Mature dairy cattle,Dairy,300,328,628,62.391999999999996,19.555999999999997,82,,,,,,19.555999999999997,82,<b>Name: </b>Blue Sky Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>82 metric tons,—
Aguiar Dairy Feedlot,"16960 Avenue 152, Porterville, CA 93257",36.06679,-119.17387,Tulare,1600,Heifers (non dairy affiliated),Other,0,1600,1600,102.4,3.2,106,,,,,,3.2,106,<b>Name: </b>Aguiar Dairy Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>106 metric tons,—
Silveira Jerstein Dairy,"4628 County Rd P, Orland, CA 95963",39.765062,-122.14074,Glenn,90,Mature dairy cattle,Dairy,90,98,188,18.692,6.045999999999999,25,,,,,,6.045999999999999,25,<b>Name: </b>Silveira Jerstein Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>25 metric tons,—
Ahlem's Foothills Farms,"15453 East Monte Vista Road, Denair, CA 95316",37.53673732,-120.7734776,Stanislaus,2400,Mature dairy cattle,Dairy,2400,2625,5025,499.2,161.25,660,,,,,,161.25,660,<b>Name: </b>Ahlem's Foothills Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>660 metric tons,—
Gold Medal Ag LLC Crows Landing,"806 Harding Road, Crows Landing, CA 95313",37.45717,-121.017,Stanislaus,300,Mature dairy cattle,Dairy,300,328,628,62.391999999999996,20.156,83,,,,,,20.156,83,<b>Name: </b>Gold Medal Ag LLC Crows Landing</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>83 metric tons,—
Jade Jersey Dairy,"20326 Johnson Avenue, Hilmar, CA 95324",37.4333,-120.85581,Merced,450,Mature dairy cattle,Dairy,450,492,942,93.588,30.234,124,,,,,,30.234,124,<b>Name: </b>Jade Jersey Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>124 metric tons,—
CMC Jerseys LLC,"23204 Bloss Avenue, Hilmar, CA 95324",37.40463,-120.90847,Merced,494,Mature dairy cattle,Dairy,494,540,1034,102.732,33.19,136,,,,,,33.19,136,<b>Name: </b>CMC Jerseys LLC</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>136 metric tons,—
CMA Livestock #2,"23970 West August Avenue, Hilmar, CA 95324",37.41924,-120.92159,Merced,186,Mature dairy cattle,Dairy,186,203,389,38.66,12.496,51,,,,,,12.496,51,<b>Name: </b>CMA Livestock #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>51 metric tons,—
Double Cross #6,"21189 American Avenue, Hilmar, CA 95324",37.41167,-120.87187,Merced,1329,Mature dairy cattle,Dairy,1329,1453,2782,276.394,89.29100000000001,366,,,,,,89.29100000000001,366,<b>Name: </b>Double Cross #6</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>366 metric tons,—
Airoso Dairy,"18809 Road 64, Tulare, CA 93274",36.1307,-119.43047,Tulare,310,Heifers (non dairy affiliated),Other,0,310,310,19.84,0.62,20,,,,,,0.62,20,<b>Name: </b>Airoso Dairy</br><b>Type: </b>Other</br><b>Methane emissions: </b>20 metric tons,—
Joe Alamo,"1866 West Fulkerth Road, Crows Landing, CA 95313",37.5077641,-121.0212279,Stanislaus,750,Mature dairy cattle,Dairy,750,820,1570,155.98,50.39,206,,,,,,50.39,206,<b>Name: </b>Joe Alamo</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>206 metric tons,—
Rancho Terisita Dairy #3,"12671 Ave 200, Tulare, CA 93274",36.15058,-119.28833,Tulare,700,Mature dairy cattle,Dairy,700,766,1466,145.624,47.032,193,,,,,,47.032,193,<b>Name: </b>Rancho Terisita Dairy #3</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>193 metric tons,—
Alberto Dairy,"11737 Blue Gum Road, Hickman, CA 95323",37.61668325,-120.7735527,Stanislaus,1150,Mature dairy cattle,Dairy,1150,1258,2408,239.212,77.266,316,,,,,,77.266,316,<b>Name: </b>Alberto Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>316 metric tons,—
Albin Dairy,"1009 Bertelsen Lane, Ferndale, CA 95536",40.59861,-124.25952,Humboldt,285,Mature dairy cattle,Dairy,285,312,597,59.298,13.991999999999999,73,,,,,,13.991999999999999,73,<b>Name: </b>Albin Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>73 metric tons,—
"Alden Peterson & Sons Dairy, Inc.","1431 North Central Avenue, Turlock, CA 95380",37.50615478,-120.9585769,Stanislaus,717,Mature dairy cattle,Dairy,717,784,1501,149.122,48.172999999999995,197,,,,,,48.172999999999995,197,"<b>Name: </b>Alden Peterson & Sons Dairy, Inc.</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>197 metric tons",—
Alexandre Acres,"210 Sage Road, Ferndale, CA 95536",40.60051,-124.232165,Humboldt,940,Mature dairy cattle,Dairy,940,1028,1968,195.512,46.147999999999996,242,,,,,,46.147999999999996,242,<b>Name: </b>Alexandre Acres</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>242 metric tons,—
Sea Mist Organics,"761 Showers Road, Eureka, CA 95503",40.730893,-124.179765,Humboldt,352,Mature dairy cattle,Dairy,352,385,737,73.21600000000001,23.65,97,,,,,,23.65,97,<b>Name: </b>Sea Mist Organics</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>97 metric tons,—
Reservation Ranch,"370 Sarina Road, Smith River, CA 95567",41.922022,-124.164659,Del Norte,650,Mature dairy cattle,Dairy,650,711,1361,135.204,33.211,168,,,,,,33.211,168,<b>Name: </b>Reservation Ranch</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>168 metric tons,—
Alexandre Ecodairy,"2250 Fred Haight Drive, Smith River, CA 95567",41.89838,-124.147342,Del Norte,801,Mature dairy cattle,Dairy,801,876,1677,166.602,40.925999999999995,208,,,,,,40.925999999999995,208,<b>Name: </b>Alexandre Ecodairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>208 metric tons,—
A & A Cattle/Raymar Farms,"4064 Dodds Road, Oakdale, CA 95361",37.84863,-120.91762,Stanislaus,24100,Calf feedlots,Other,0,24100,24100,1542.4,48.2,1591,,,,,,48.2,1591,"<b>Name: </b>A & A Cattle/Raymar Farms</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,591 metric tons",—
Barreto & Silveira Dairy,"11305 2nd Avenue, Hanford, CA 93230",36.30782,-119.49049,Kings,875,Mature dairy cattle,Dairy,875,957,1832,181.998,58.789,241,,,,,,58.789,241,<b>Name: </b>Barreto & Silveira Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>241 metric tons,—
Jacobus Degroot Dairy #1,"31847 Road 92, Visalia, CA 93291",36.36817,-119.36994,Tulare,1362,Mature dairy cattle,Dairy,1362,1490,2852,283.316,91.51,375,,,,,,91.51,375,<b>Name: </b>Jacobus Degroot Dairy #1</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>375 metric tons,—
Double D Jerseys,"937 El Katrina Lane, Ceres, CA 95307",37.51114,-120.9858,Stanislaus,1195,Mature dairy cattle,Dairy,1195,1307,2502,248.558,80.289,329,,,,,,80.289,329,<b>Name: </b>Double D Jerseys</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>329 metric tons,—
Alves & Son Dairy #2,"13831 East Avenue, Turlock, CA 95380",37.49183,-120.73667,Merced,1205,Mature dairy cattle,Dairy,1205,1318,2523,250.642,78.551,329,,,,,,78.551,329,<b>Name: </b>Alves & Son Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>329 metric tons,—
Alves & Son Dairy,"13745 Newport Road, Turlock, CA 95380",37.48732,-120.70312,Merced,875,Mature dairy cattle,Dairy,875,957,1832,181.998,57.039,239,,,,,,57.039,239,<b>Name: </b>Alves & Son Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>239 metric tons,—
Crystal View Dairy (former F & J #3),"29401 Road 68, Visalia, CA 93277",36.3225,-119.4234,Tulare,320,Mature dairy cattle,Dairy,320,350,670,66.56,21.5,88,,,,,,21.5,88,<b>Name: </b>Crystal View Dairy (former F & J #3)</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>88 metric tons,—
Machado Dairy Farms #4,"26298 Groves Road, Farmington, CA 95230",37.941,-120.99087,San Joaquin,726,Heifers (non dairy affiliated),Other,0,726,726,46.464,1.452,48,,,,,,1.452,48,<b>Name: </b>Machado Dairy Farms #4</br><b>Type: </b>Other</br><b>Methane emissions: </b>48 metric tons,—
Amaral Dairy,"4715 County Rd N Road, Orland, CA 95963",39.73069,-122.10431,Glenn,201,Mature dairy cattle,Dairy,201,220,421,41.818,13.504999999999999,55,,,,,,13.504999999999999,55,<b>Name: </b>Amaral Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>55 metric tons,—
Martins View Jersey Dairy #2,"28336 West Bambauer Road, Gustine, CA 95322",37.27629,-121.00006,Merced,757,Heifers (non dairy affiliated),Other,0,757,757,48.448,1.514,50,,,,,,1.514,50,<b>Name: </b>Martins View Jersey Dairy #2</br><b>Type: </b>Other</br><b>Methane emissions: </b>50 metric tons,—
Grant Amen Feedlot,"7100 Milky Way, Redding, CA 96002",40.49385,-122.32832,Shasta,75,Cattle or cow/calf pairs,Other,0,75,75,4.8,0.15,5,,,,,,0.15,5,<b>Name: </b>Grant Amen Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>5 metric tons,—
American Beef Packers,"7777 Schaefer Avenue, Ontario, CA 91761",34.00437,-117.63346,San Bernardino,605,Cattle or cow/calf pairs,Other,0,605,605,38.72,1.21,40,,,,,,1.21,40,<b>Name: </b>American Beef Packers</br><b>Type: </b>Other</br><b>Methane emissions: </b>40 metric tons,—
Sunshine Dairy Heifers,"12700 7th Avenue, Hanford, CA 93230",36.287508,-119.583317,Kings,950,Heifers (non dairy affiliated),Other,0,950,950,60.8,1.9,63,,,,,,1.9,63,<b>Name: </b>Sunshine Dairy Heifers</br><b>Type: </b>Other</br><b>Methane emissions: </b>63 metric tons,—
Shady Acres Dairy #2,"15391 West Elkhorn Avenue, Helm, CA 93627",36.486573,-120.074222,Fresno,3500,Mature dairy cattle,Dairy,3500,3828,7328,727.992,245.656,974,,,,,,245.656,974,<b>Name: </b>Shady Acres Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>974 metric tons,—
Rainimade Dairy #2,"34308 Road 124, Visalia, CA 93292",36.41346,-119.29542,Tulare,505,Mature dairy cattle,Dairy,505,552,1057,105.018,33.929,139,,,,,,33.929,139,<b>Name: </b>Rainimade Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>139 metric tons,—
Milk Maid Dairy,"35826 Road 100, Visalia, CA 93291",36.44041,-119.34877,Tulare,1794,Mature dairy cattle,Dairy,1794,1962,3756,373.14,120.534,494,,,,,,120.534,494,<b>Name: </b>Milk Maid Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>494 metric tons,—
Homestead Dairy,"10178 Ave 352, Visalia, CA 93291",36.429321,-119.339937,Tulare,1285,Mature dairy cattle,Dairy,1285,1405,2690,267.25,86.33500000000001,354,,,,,,86.33500000000001,354,<b>Name: </b>Homestead Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>354 metric tons,—
R & R Ranch,"6654 Langworth Road, Oakdale, CA 95361",37.73433,-120.89447,Stanislaus,1580,Calf feedlots,Other,0,1580,1580,101.12,3.16,104,,,,,,3.16,104,<b>Name: </b>R & R Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>104 metric tons,—
Mello Ranch,"744 McEwen Road, Waterford, CA 95386",37.62801,-120.80659,Stanislaus,5400,Calf feedlots,Other,0,5400,5400,345.6,10.8,356,,,,,,10.8,356,<b>Name: </b>Mello Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>356 metric tons,—
Den—K Heifer Corrals,"13621 West Henry Miller Road, Los Banos, CA 93635",37.09836,-120.73737,Merced,136,Heifers (non dairy affiliated),Other,0,136,136,8.704,0.272,9,,,,,,0.272,9,<b>Name: </b>Den—K Heifer Corrals</br><b>Type: </b>Other</br><b>Methane emissions: </b>9 metric tons,—
Den—K Holsteins Dairy,"15475 West Henry Miller Road, Los Banos, CA 93635",37.09887,-120.77056,Merced,100,Mature dairy cattle,Dairy,100,109,209,20.776,6.718,27,,,,,,6.718,27,<b>Name: </b>Den—K Holsteins Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>27 metric tons,—
Banos Dairy,"4667 Avenue 23 1/2, Chowchilla, CA 93610",37.091744,-120.460478,Madera,760,Mature dairy cattle,Dairy,760,831,1591,158.064,51.062,209,,,,,,51.062,209,<b>Name: </b>Banos Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>209 metric tons,—
Oostdam Dairy Heifer Ranch,"1655 North Ramona Boulevard, San Jacinto, CA 92582",33.813062,-116.987734,Riverside,300,Heifers (non dairy affiliated),Other,0,300,300,19.2,0.6,20,,,,,,0.6,20,<b>Name: </b>Oostdam Dairy Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>20 metric tons,—
Double D Taylor,"2506 East Taylor Road, Ceres, CA 95307",37.53293395,-120.9484489,Stanislaus,280,Heifers (non dairy affiliated),Other,0,280,280,17.92,0.56,18,,,,,,0.56,18,<b>Name: </b>Double D Taylor</br><b>Type: </b>Other</br><b>Methane emissions: </b>18 metric tons,—
Williams Family Dairy #2,"5339 Avenue 120, Corcoran, CA 93212",36.00542,-119.44911,Tulare,1135,Mature dairy cattle,Dairy,1135,1241,2376,236.054,79.662,316,,,,,,79.662,316,<b>Name: </b>Williams Family Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>316 metric tons,—
GTA Dairy,"16197 Avenue 172, Tulare, CA 93274",36.0989,-119.21,Tulare,1400,Mature dairy cattle,Dairy,1400,1531,2931,291.18399999999997,98.262,389,,,,,,98.262,389,<b>Name: </b>GTA Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>389 metric tons,—
Aukeman Dairy,"28349 Los Angeles Street, Shafter, CA 93263",35.491671,-119.373197,Kern,2732,Mature dairy cattle,Dairy,2732,2988,5720,568.248,208.144,776,,,,,,208.144,776,<b>Name: </b>Aukeman Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>776 metric tons,—
A P Avila and Sons Dairy,"8178 Paradise Road, Modesto, CA 95358",37.61454,-121.14887,Stanislaus,585,Mature dairy cattle,Dairy,585,640,1225,121.69,39.305,161,,,,,,39.305,161,<b>Name: </b>A P Avila and Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>161 metric tons,—
Jose Avila,"2618 East Tuolumne Road, Ceres, CA 95307",37.51402,-120.94661,Stanislaus,210,Calf feedlots,Other,0,210,210,13.44,0.42,14,,,,,,0.42,14,<b>Name: </b>Jose Avila</br><b>Type: </b>Other</br><b>Methane emissions: </b>14 metric tons,—
Avila Family Dairy,"13644 Avenue 18 1/2, Chowchilla, CA 93610",37.017878,-120.298197,Madera,1420,Mature dairy cattle,Dairy,1420,1553,2973,295.352,95.40599999999999,391,,,,,,95.40599999999999,391,<b>Name: </b>Avila Family Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>391 metric tons,—
Delta View #2,"30297 Road 56, Visalia, CA 93291",36.3386477,-119.4484567,Tulare,375,Heifers (non dairy affiliated),Other,0,375,375,24,0.75,25,,,,,,0.75,25,<b>Name: </b>Delta View #2</br><b>Type: </b>Other</br><b>Methane emissions: </b>25 metric tons,—
Midnight Farms,"9240 19 1/2 Avenue, Lemoore, CA 93245",36.31341,-119.80911,Kings,465,Heifers (non dairy affiliated),Other,0,465,465,29.76,0.93,31,,,,,,0.93,31,<b>Name: </b>Midnight Farms</br><b>Type: </b>Other</br><b>Methane emissions: </b>31 metric tons,—
Manuel Avila Dairy,"18785 Ward Road, Los Banos, CA 93635",37.01533,-120.82318,Merced,250,Heifers (non dairy affiliated),Other,0,250,250,16,0.5,16,,,,,,0.5,16,<b>Name: </b>Manuel Avila Dairy</br><b>Type: </b>Other</br><b>Methane emissions: </b>16 metric tons,—
A & G Azevedo Dairy,"536 North Prairie Flower Road, Turlock, CA 95380",37.49828,-120.93095,Stanislaus,245,Mature dairy cattle,Dairy,245,268,513,50.962,16.461000000000002,67,,,,,,16.461000000000002,67,<b>Name: </b>A & G Azevedo Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>67 metric tons,—
Antonio Azevedo Dairy #1,"2025 West El Nido Road, El Nido, CA 95317",37.13136,-120.53302,Merced,4020,Mature dairy cattle,Dairy,4020,4396,8416,836.104,270.092,1106,,,,,,270.092,1106,"<b>Name: </b>Antonio Azevedo Dairy #1</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,106 metric tons",—
Antonio Azevedo Heifer Ranch,"511 West Roosevelt Road, El Nido, CA 95317",37.14031,-120.50573,Merced,850,Heifers (non dairy affiliated),Other,0,850,850,54.4,1.7,56,,,,,,1.7,56,<b>Name: </b>Antonio Azevedo Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>56 metric tons,—
Antonio Azevedo Dairy #2,"7618 South Hwy 59, El Nido, CA 95317",37.09131,-120.49311,Merced,1200,Mature dairy cattle,Dairy,1200,1312,2512,249.56799999999998,80.624,330,,,,,,80.624,330,<b>Name: </b>Antonio Azevedo Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>330 metric tons,—
Eugenio Azevedo Dairy,"2222 South Healy Road, Merced, CA 95341",37.24577,-120.4342,Merced,910,Mature dairy cattle,Dairy,910,995,1905,189.26,61.14,250,,,,,,61.14,250,<b>Name: </b>Eugenio Azevedo Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>250 metric tons,—
Frank Azevedo Dairy,"30711 Pfitzer Road, Gustine, CA 95322",37.20958,-121.04765,Merced,1095,Mature dairy cattle,Dairy,1095,1198,2293,227.782,71.381,299,,,,,,71.381,299,<b>Name: </b>Frank Azevedo Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>299 metric tons,—
"Azevedo Dairy, Inc.","1343 Magnolia Avenue, Patterson, CA 95363",37.51380444,-121.1293585,Stanislaus,510,Mature dairy cattle,Dairy,510,558,1068,106.092,34.266,140,,,,,,34.266,140,"<b>Name: </b>Azevedo Dairy, Inc.</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>140 metric tons",—
Azevedo Farms,"3737 Weir Avenue, Livingston, CA 95334",37.34133,-120.79886,Merced,300,Mature dairy cattle,Dairy,300,328,628,62.391999999999996,19.555999999999997,82,,,,,,19.555999999999997,82,<b>Name: </b>Azevedo Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>82 metric tons,—
