facility_name,type,mitigation,adjusted_total_methane
J&T 2009 Irrevocable Trust DBA Paradise Dairy,Dairy,—,253
"Cressey River, LLC Dairy",Dairy,—,253
Tony & Julie Jorge Dairy,Dairy,—,253
"All Seasons Logistics, LLC",Dairy,—,253
Luis M. Azevedo Dairy,Dairy,—,253
Raphael Pacheco Dairy,Dairy,—,252
County Line Cattle,Other,—,251
Monteiro Bros. Dairy #2,Dairy,—,251
Brasil's Udder Dairy,Dairy,Dairy digester,250
Eugenio Azevedo Dairy,Dairy,—,250
6D Dores Dairy,Dairy,—,249
White Gold Dairy,Dairy,—,249
Fagundes Bros. Dairy #4,Dairy,—,248
Grimmius Cattle Company — West Ranch,Other,—,248
Borba Brothers Dairy,Dairy,—,247
GH Dairy — Hemet,Dairy,—,246
Cal—Denier Dairy LLC,Dairy,Manure management,245
Machado Farms Dairy,Dairy,Manure management,245
Golden Star Dairy,Dairy,—,245
Frank & Carol Borba Dairy,Dairy,—,244
Borges Farms,Dairy,—,244
Legend Dairy Farms,Dairy,—,244
Grizzle Feedlot,Other,—,244
Correia Family Dairy,Dairy,Manure management,243
Peterson Dairy,Dairy,—,243
Evaristo Vaz Dairy,Dairy,Manure management,242
Alexandre Acres,Dairy,—,242
Kaehler Dairy Farm,Dairy,—,242
Barreto & Silveira Dairy,Dairy,—,241
Diamond J Dairy LLC,Dairy,Manure management,240
Lopes Family Dairy,Dairy,—,240
Postma Dairy #1,Dairy,Manure management,239
Alves & Son Dairy,Dairy,—,239
Hettinga Holtville Cattle Feeders,Other,—,239
Bartelink Dairy,Dairy,—,237
Dematos Dairy,Dairy,—,237
Frank Gwerder Dairy,Dairy,—,237
Verburg and Sons Dairy,Dairy,—,237
T—Bar Dairy,Dairy,—,236
Lerda—Goni Farms Dairy,Dairy,—,236
Expressway Dairy,Dairy,—,235
Migliazzo & Sons Dairy,Dairy,—,234
Ehrlich Dairy,Dairy,—,234
Manuel Mendes Dairy,Dairy,—,232
Spaletta Ranch,Dairy,—,232
"Turlock Livestock Auction Yard, Inc.",Other,—,232
Hacienda Yard,Other,—,231
Delta Woods Dairy,Dairy,—,231
Teunissen Ranch #2,Other,—,231
SCF— Beef Eaters Yard,Other,—,231
North Tri Palm Dairy,Dairy,—,230
SIMOES SANDLIN FAMILY FARMS DAIRY,Dairy,—,230
Sandy Mush Crosses,Dairy,—,230
Renati Dairy,Dairy,Manure management,229
T H Mello Dairy,Dairy,—,229
Couchman Farms,Dairy,—,228
Mertens Dairy,Dairy,—,227
Tripalm Dairy,Dairy,Manure management,225
John Brasil & Sons Dairy #2,Dairy,—,225
Silva's Holsteins,Dairy,Manure management,224
M5 Dairy,Dairy,—,224
Tiemersma Dairy,Dairy,—,224
Nunes Bros Inc Dairy,Dairy,—,223
PH Ranch #2,Dairy,—,223
Henry A. Garcia Dairy,Dairy,Manure management,222
Kerman Cattle Company,Dairy,—,222
Ben Mendonca & Family Dairy,Dairy,—,221
Hills Ferry Ranch,Other,—,221
North Moon Dairy,Dairy,—,218
Jordao Dairy,Dairy,Manure management,216
Fagundes Bros. Dairy #2,Dairy,—,216
MTSJ Dairy/ Maarten Poldervaart Dairy,Dairy,—,216
CSJ Dairy,Dairy,—,215
Tony & Fatima Garcia Dairy,Dairy,—,215
Cross Creek Dairy,Dairy,—,215
Vitor Borba Dairy,Dairy,—,214
Frank L. Pires III Dairy,Dairy,—,214
Peter de Visser Dairy,Dairy,—,212
Bar E Dairy,Dairy,—,212
Joe Henriques Dairy,Dairy,—,212
John & Maria Machado Dairy,Dairy,—,212
Nutcher Farms,Dairy,—,212
Nunes & Sons Dairy Inc.,Dairy,—,211
Mulas Dairy,Dairy,—,211
Banos Dairy,Dairy,—,209
Gordon Hay Inc Dairy #8,Dairy,—,209
Goncalves Dairy,Dairy,—,209
Alexandre Ecodairy,Dairy,—,208
Lasalle Dairy,Dairy,—,208
MB—Lucky Lady Farms,Dairy,—,207
Green Acres Dairy/El Dorado Dairy #1,Dairy,—,207
Joe Alamo,Dairy,—,206
Machado Dairy,Dairy,—,206
"California Dairy Farms, LLC",Dairy,—,206
Fanelli Dairy,Dairy,—,205
Lowe Cattle Company Inc.,Other,—,202
Echeverria Feedlot,Other,—,199
F & F Heifers,Other,—,198
A&M Livestock,Other,—,198
Masami Cattle Ranch,Other,—,198
Moreda Valley Dairy #1,Dairy,—,198
Riverbend East Dairy,Other,—,198
Live Oak Dairy B,Dairy,—,198
"Alden Peterson & Sons Dairy, Inc.",Dairy,—,197
F & L Barcellos Dairy,Dairy,—,197
Ed Machado Dairy,Dairy,—,197
Manuel Da Silva Dairy,Dairy,Manure management,196
Sherwood Ranch,Other,—,196
N & C Silveira Dairy,Dairy,Manure management,195
Rancho Terisita Dairy #3,Dairy,—,193
PARREIRA FARMS DAIRY,Dairy,—,193
Crane Villa Dairy,Dairy,—,193
Dutch Door Dairy,Dairy,—,193
Diamond L Dairy,Dairy,—,193
Frank Teicheira & Son Dairy,Dairy,—,193
"Pareira Dairy, LP",Dairy,—,193
Ornellas Dairy #1,Dairy,—,193
"J & J Toste Dairy, Inc.",Dairy,—,193
Van Der Hoek And Sons Dairy #1,Dairy,—,193
Sousa Family Dairy,Dairy,—,192
Gomes Dairy,Dairy,—,192
Fontes Dairy Farms—Dairy #1,Dairy,—,191
"Bar Vee Dairy, Inc.",Dairy,—,191
Trinkler Heifer Ranch,Other,—,191
T.D. Dairy,Dairy,—,191
White River Dairy,Dairy,—,190
Rick Jones Farms,Dairy,—,189
JNA Brasil Dairy,Dairy,—,188
"J and A Dairy, LLC",Dairy,—,188
MSFD Feedlot,Other,—,188
Larry Silveira Dairy,Dairy,—,188
Alves Dairy,Dairy,Manure management,187
Vitorino Dairy,Dairy,—,187
Double Cross #5,Dairy,—,187
Silveira Holsteins,Dairy,—,187
John Machado Dairy,Dairy,Manure management,186
Borba & Sons Dairy,Dairy,—,186
Jersey Creek Dairy,Dairy,—,186
Paradise Dairy,Dairy,—,186
J & Y Jimenez Dairy,Dairy,—,186
AM3,Dairy,—,186
Nascimento Dairy,Dairy,—,186
Live Oak Dairy C,Dairy,—,186
M4 Farms Feedlot,Other,—,185
Morrison Brothers Dairy,Dairy,—,185
Sid De Boer Dairy,Dairy,—,184
DeBernardi Dairy,Dairy,—,184
Frank J Bettencourt & Sons Dairy,Dairy,—,184
Hettinga Brawley Heifer Ranch,Other,—,184
F & A Lemos Dairy,Dairy,—,184
Van Steyn Dairy,Dairy,—,184
New Dawn Dairy,Dairy,—,183
Diamond B Dairy,Dairy,—,182
C&R Dairy,Dairy,—,182
Top Of The Line Dairy,Dairy,—,182
Pinheiro & Deniz Dairy,Dairy,—,182
Carlos and Deolinda Lopes Trust Dairy,Dairy,Manure management,180
Lander Heifer Ranch,Other,—,180
Lucas Dairy,Dairy,—,180
John Mendonca & Son Dairy,Dairy,—,180
Zylstra Andrew Dairy #2,Dairy,Manure management,179
G & H Dairy #2,Dairy,—,179
T & C Louters Dairy,Dairy,Manure management,178
Art Silva Dairy #2,Dairy,Manure management,177
Antonio Garcia Dairy,Dairy,—,177
Legacy Dairy,Dairy,—,177
Inderbitzen Farms,Dairy,—,176
Outback Ranch,Other,—,176
"Wyeth Dairy, Inc.",Dairy,—,176
Soares Dairy Farms Inc,Dairy,Manure management,175
"GJC Dairy, Inc.",Dairy,—,175
Double Cross #2,Dairy,—,175
S & S 2 Dairy,Dairy,—,175
B & J Dairy,Dairy,—,174
DS Farms LP,Dairy,Manure management,173
Nunes Dairy,Dairy,Manure management,172
A. B. Brazil Dairy,Dairy,—,172
Carvalho Dairy,Dairy,—,172
Eleanor Ranch,Other,—,172
John Brasil Dairy #3,Dairy,—,171
Outlaw Dairy,Dairy,—,171
Tipton Dairy,Dairy,—,171
Ken Van Foeken Dairy #2,Dairy,—,171
Shirk Dairy,Dairy,—,169
Goyenetche Dairy #2 Ramona,Dairy,—,169
Back Road Dairy,Dairy,Manure management,168
Reservation Ranch,Dairy,—,168
Machado Gabriel & Sons Dairy,Dairy,—,168
Fagundes Agribusiness Dairy,Dairy,—,167
Vida Boa Dairy #1,Dairy,—,167
M&N Miranda Dairy,Dairy,—,167
Oliveira Dairy,Dairy,Manure management,166
Magneson Dairy,Dairy,Manure management,165
Frank Chaves & Sons Dairy #1,Dairy,—,165
Durrer Dairy,Dairy,—,165
Island Dairy,Dairy,—,165
Meikle Ranch,Dairy,—,165
R & S Dairy LLC,Dairy,—,165
Tavares Farms Partnership Dairy,Dairy,—,165
Azevedo Family Dairy,Dairy,—,165
Silva & Son Dairy,Dairy,—,164
Daniel Brazil Dairy,Dairy,—,164
Joe and Maria Mendonca Dairy,Dairy,—,164
Foster Dairy Farms #2,Dairy,—,162
A P Avila and Sons Dairy,Dairy,—,161
Fernjo Heifers,Dairy,—,160
Bluegrass Dairy,Dairy,—,160
Luis C Nunes & Sons Dairy #2,Dairy,—,160
Stornetta Ranch #1,Dairy,—,160
Bosch Dairy,Dairy,—,159
Bosch Dairy #2,Dairy,—,159
Hettinga Green Road,Other,—,158
Nelson Farms,Dairy,—,158
TerriLinda Dairy,Dairy,—,158
Brindiero & Danbom Dairy Farms,Dairy,Manure management,157
George Nunes Dairy,Dairy,—,157
6—X Dairy #2,Dairy,—,157
Langworth Dairy,Dairy,—,157
Agresti Heifer Ranch,Other,Manure management,154
AC Enterprises Dairy,Dairy,—,154
Vevoda Holsteins Dairy,Dairy,—,154
Sunset Dairy,Dairy,—,153
Souza Bros Dairy,Dairy,Manure management,152
Deer Valley Dairy West,Dairy,—,152
Silva Brothers Dairy #3,Dairy,—,151
Lockwood III Dairy,Dairy,—,151
Bel R. Martin & Sons Dairy,Dairy,—,151
S & S Dairy #2,Dairy,—,151
Diniz Dairy,Dairy,—,150
Salvador Dairy (Monte Vista Rd),Dairy,—,150
Antone L Gomes and Sons Dairy,Dairy,Manure management,149
Kooyman & Son Dairy,Dairy,—,149
Willem Postma Dairy #2,Dairy,—,149
Triple C Ranch,Dairy,Manure management,147
Rijlaarsdam Feedlot,Other,—,147
M & A Dairy,Dairy,—,146
Pedretti Ranches,Dairy,—,146
"TRCC, INC.,",Other,—,146
Monster Dairy,Dairy,—,145
Full Circle Dairy,Dairy,—,145
Legend Dairy Farms,Dairy,—,145
D.V. Silveira and Son Dairy,Dairy,—,144
Mountain View Jerseys,Dairy,—,144
Vierra Dairy LLC #4,Dairy,—,143
De Carvalho Brothers Dairy,Dairy,—,143
TD6 Dairy,Dairy,—,143
Luis Correia Dairy,Dairy,—,142
John & Nicole Santos Dairy #2,Dairy,—,141
Jim Walker Dairy,Dairy,—,141
Marvo Holsteins #2,Dairy,—,141
"Azevedo Dairy, Inc.",Dairy,—,140
Antonio Azevedo Dairy #3,Dairy,—,140
"Nissen Dairy, Inc.",Dairy,—,140
Valley View Dairy,Dairy,—,140
Rainimade Dairy #2,Dairy,—,139
Frank Souza Dairy — Euclid,Other,—,139
Hettinga Ranch,Other,—,139
Mcfarland Dairy,Dairy,—,139
Curti Family Farms,Dairy,—,138
Doornenbal Dairy #3,Dairy,—,138
Robert Gioletti & Sons Dairy #2,Dairy,—,138
Vitoria Farms Dairy,Dairy,—,138
F & L Barcellos #2,Other,—,137
CMC Jerseys LLC,Dairy,—,136
John Borges Dairy,Dairy,—,135
J & F Martins Dairy #2,Dairy,—,135
Vogts Holstein Dairies #1,Dairy,—,135
Robert Giacomini Dairy Inc.,Dairy,—,134
PH Ranch #3,Dairy,—,133
River View Ranch,Other,—,132
Golden Star Dairy LLC #2,Dairy,—,132
F + S Brasil Dairy #2,Dairy,—,132
Sam Habib Cattle Co,Other,—,132
"OWB Ranches, LLC",Other,—,132
Pereira Family Dairy Feedlot,Other,—,132
S A S Dairy #2,Dairy,—,132
Amos Brothers Dairy,Dairy,—,131
Live Oak Dairy A,Dairy,—,131
Gil Tex Dairy,Dairy,—,131
Toledo Dairy,Dairy,Manure management,129
Diamond O Dairy,Dairy,—,129
Pires Dairy Farms Heifer Ranch,Other,—,129
"George Bianchi, Inc. Home Ranch",Dairy,—,128
Robert L Silva Dairy,Dairy,—,128
Southwest Dairy Inc,Dairy,—,128
Hansen & Sons Dairy,Dairy,—,127
Vierra Dairy Farms #2,Dairy,—,127
Ken Van Foeken Dairy,Dairy,—,126
JB Dairy,Dairy,Manure management,125
Gordon Dairy #5,Dairy,—,125
FM Ranch Dairy #1,Dairy,—,125
ED Paulo & Sons Dairy,Dairy,—,125
"Cahill Organic Dairy — Fulmor Road, Ferndale",Dairy,Manure management,124
Jade Jersey Dairy,Dairy,—,124
Da Rosa Dairy,Dairy,—,124
Nevada Heights,Other,—,124
Valentine Dairy,Dairy,—,124
P & D Dairy,Dairy,—,124
Silveira Dairy,Dairy,—,124
Joe Pacheco #2,Dairy,—,124
"Joe C. Pires, Jr., Dairy",Dairy,—,124
Souza Dairy,Dairy,—,122
Dutra & Dutra Dairy,Dairy,—,121
Double D Dairy #2,Dairy,Manure management,120
Caton Farms Dairy,Dairy,Manure management,120
Hath Dairy,Dairy,Manure management,120
P&D Dairy West,Dairy,—,120
Mendes & Toste Dairy,Dairy,—,120
Double M Jerseys Dairy,Dairy,—,120
F & F Machado Farms,Other,—,119
Four Star Dairy #3,Dairy,—,119
Hale Dairy,Dairy,—,118
Sierra Rose Dairy,Dairy,—,118
FM Ranch #3,Dairy,—,117
"Da Silva Dairy Farms, LLC #3",Dairy,—,117
Brooks & Erman Ranch,Dairy,—,117
Dream Dairy,Dairy,—,117
Gentle Breezes Dairy,Dairy,—,116
Soares Dairy Farms,Dairy,—,116
GH Dairy #6,Dairy,—,115
Mel—Tina Dairy,Dairy,—,115
Chris Verboom Dairy,Other,—,115
Lafranchi Ranch,Dairy,Manure management,114
Joe Gomes Dairy #1 (Swanson Rd),Dairy,—,114
Barcelos Dairy,Dairy,—,114
John Mattos Dairy — Diamond M Dairy — Hammel Road,Dairy,—,114
Legend Dairy Farms,Dairy,—,114
A & L Dairy,Dairy,Manure management,113
Neves Dairy,Dairy,—,113
Lemos Jerseys,Dairy,—,113
Staas Farms,Dairy,—,113
Van Exel Dairy #2,Dairy,—,113
Van Steyn Dairy No. 2,Dairy,—,113
Zuppan Dairy,Dairy,Manure management,112
A&C Machado Dairy #2,Dairy,—,112
Double Cross #3,Dairy,—,111
Eugenio Azavedo Dairy #4,Dairy,—,111
Stone Corral,Other,—,111
Fragoso Dairy #2,Dairy,—,110
Fernjo Dairy #3,Dairy,—,110
IVY STAR Dairy,Dairy,—,110
Lima Dairy / A & L Dairy,Dairy,—,110
Vida Boa #2 Dairy,Dairy,—,110
El Dorado Dairy #2,Dairy,—,109
Sam Kooistra Dairy,Dairy,—,109
Scilacci Dairy,Dairy,—,109
Santa Anita Dairy,Dairy,—,107
Coppini Lane Jerseys,Dairy,—,107
Gordon Dairy #3,Dairy,—,107
Sepeda Brothers Dairy,Other,—,107
Vitorino & Sons Dairy,Dairy,—,107
Aguiar Dairy Feedlot,Other,—,106
J—D Brasil Dairy,Dairy,—,106
Gerald Spaletta Dairy,Dairy,—,106
Pahrump Heifer Ranch,Other,—,106
Hidden Valley Heifer Ranch,Other,—,106
Spaletta Cypress Lane Ranch,Dairy,—,106
Kehoe Dairy Inc. (J Ranch),Dairy,—,106
Double D Dairy,Dairy,—,105
F & M Areias Dairy,Dairy,—,105
Anthony & Robert Brazil Dairy/Sunshine Dairy,Dairy,—,105
Leonardi Dairy,Dairy,Manure management,104
R & R Ranch,Other,—,104
Pimentel Dairy,Dairy,—,104
Boldrini Dairy,Dairy,—,103
Van Exel Dairy #3,Dairy,—,103
Santos Jer—Z Dairy,Dairy,—,103
Lone Tree—Favier Ranch,Other,—,102
Three D Dairy #2,Dairy,—,102
Larry B. Peterson Dairy Farms #2,Dairy,—,102
Broken Box Ranch,Other,—,100
Johal Dairy,Dairy,—,100
Neil McIsaac & Son Inc.,Dairy,—,100
Rancho Del Sol,Other,—,100
Matos Brothers Dairy,Dairy,—,100
Johnson & Neles Dairy,Dairy,—,99
"W—D Ranch, Inc.",Dairy,—,99
Joseph Camozzi Dairy,Dairy,—,98
Chino Valley Dairy #2,Dairy,—,98
J & M Dairy,Dairy,—,98
TRI—J Dairy,Other,—,98
Sea Mist Organics,Dairy,—,97
RELM Dairy,Dairy,—,95
Koolhaas Dairy #2,Dairy,—,94
L & L Pires Dairy,Dairy,—,94
Arlinda Holsteins,Dairy,—,94
M & A Dairy #2,Dairy,—,93
Antonio Azevedo Dairy #4,Dairy,Manure management,92
Emanuel Belo,Other,—,92
Couto Dairy,Dairy,—,92
JLT Ranch,Dairy,—,92
Deer Valley Dairy East,Dairy,—,92
Mazzetta Dairy,Dairy,—,92
Simoes Dairy — Riverside,Dairy,—,92
Silva Ranch,Other,—,92
Wickstrom — Caetano Feedlot,Other,—,92
Antero Borges Dairy,Dairy,—,91
Nature's Clover Dairy,Dairy,—,91
Da Silva Dairy Farms LP Dodds Heifer Ranch,Other,Manure management,90
JZB #2 Heifer Ranch,Other,—,90
Doornenbal Dairy #2,Dairy,—,89
Ielmorini Moody Ranch,Dairy,—,89
MDF Feedlot,Other,—,89
Diamond B Dairy,Dairy,—,89
Crystal View Dairy (former F & J #3),Dairy,—,88
Leonardo Bros Dairy,Other,—,88
Pacheco & Associates II Heifer Ranch,Other,—,88
Correia Dairy,Dairy,—,87
Hawkins Ranch,Dairy,—,87
5N Cattle,Other,—,87
Gordon Dairy #9,Other,—,86
Silacci Dairy,Dairy,—,86
Manuel & Jeannette Borges Dairy #2,Dairy,—,85
College of The Sequoias Dairy,Other,—,85
John Silveira Dairy Inc #2,Other,—,85
King Dairy,Dairy,—,85
Spring Hill Jersey Cheese,Dairy,—,85
John & Natalie Toste,Dairy,—,85
Guess Cattle,Other,—,84
Mcree East Dairy,Dairy,—,84
"J Y Jimenez Dairy, Inc.",Dairy,—,84
Robert McClelland Dairy,Dairy,—,84
Dasilva Dairy Farms LLC #2,Dairy,Manure management,83
Godinho Heifer Ranch,Other,Manure management,83
Live Oak Dairy H,Dairy,Manure management,83
Gold Medal Ag LLC Crows Landing,Dairy,—,83
Diamond Point Dairy,Dairy,Manure management,82
Blue Sky Dairy #2,Dairy,—,82
Azevedo Farms,Dairy,—,82
Tony Oliviera Jr. Dairy,Dairy,—,82
Frea Dairy LLC,Dairy,—,81
Luis A Pimentel Dairy,Dairy,—,81
"Den—K Holsteins, Inc.",Dairy,Manure management,80
Western Stockman's Market,Other,—,80
Amaral Dairy Farms,Dairy,—,80
Denizma Dairy / Bud Postma Dairy,Dairy,—,80
Frank Borges Heifer Ranch,Other,—,79
P & D Dairy #3,Other,—,79
Pixley Heifer Ranch,Other,—,79
Gorzeman Cattle (Dairy),Other,—,79
Rocha Bros. Farm,Dairy,—,79
Joao Sousa Dairy,Dairy,—,79
DB Heifer Ranch,Other,—,78
Bordessa Dairy,Dairy,—,78
Joe Egli and Sons Dairy,Dairy,—,78
McIsaac Dairy,Dairy,—,78
Moretti Family Dairy,Dairy,—,78
Lourenco/Wickstrom Dairy #4,Dairy,—,78
Beretta Dairy,Dairy,Manure management,77
Brodt Dairy East,Dairy,Manure management,77
Vierra Dairy Farms #3,Dairy,Manure management,77
Brazil Dairy,Dairy,—,77
Joao Cardoso Dairy Inc.,Dairy,—,77
Aukeman Farms #2,Dairy,—,77
Lucas McCanless Dairy #2 @ Coffee Creek,Dairy,—,77
Luke McCanless Dairy #1  (McCanless Home Dairy),Dairy,—,77
Pereira Dairy,Dairy,—,77
KMA Dairy,Dairy,—,77
Dos Palos Y Auction Yard,Other,—,76
Cattlemen's Livestock Market,Other,—,76
Over The Moon Dairy,Dairy,—,76
Joe Pinheiro Dairy,Dairy,—,76
Ocean Breeze Dairy,Dairy,—,76
Fire Lakes Jerseys,Dairy,—,76
Dias Family Dairy,Dairy,Manure management,75
Infinity Dairy,Dairy,—,75
Nick Mattos Dairy — Diamond M Valley Dairy — Pepper Road,Dairy,—,75
"Wilgenburg West, LLC",Other,Manure management,74
Mike McCall Dairy,Dairy,—,74
The Arend Ranch,Dairy,—,74
John Zylstra Dairy,Dairy,—,74
Regli Jerseys,Dairy,Manure management,73
Aggio Dairy Inc.,Dairy,—,73
Albin Dairy,Dairy,—,73
Costa View Dairy North,Other,—,73
Mello Dairy,Dairy,—,73
Spaletta Dairy,Dairy,—,73
Cardoso Dairy,Dairy,Manure management,72
Brazil Dairy #2,Dairy,—,72
Del Biaggio Dairy #2,Dairy,—,72
Valley Cross Dairy,Dairy,—,72
Vogts Dairy #3,Dairy,—,72
Del Biaggio Dairy,Dairy,—,71
Grizzly Bluff Holsteins,Dairy,—,71
Ontario Ranch Holsteins #1,Dairy,—,71
O'Neil Dairy,Dairy,—,71
David & Eric DeWit (Dairy),Dairy,—,70
Ed Machado Dairy,Dairy,—,70
Avlan Family Farms #2,Dairy,—,69
Pires Dairy,Dairy,—,69
Blakes Landing Farm,Dairy,—,69
Luis Correia Dairy,Dairy,—,68
Perucchi Dairy,Dairy,—,68
A & G Azevedo Dairy,Dairy,—,67
Losa Dairy,Dairy,—,67
Williams Ranch,Other,—,66
Faria Dairy Inc #3,Dairy,—,66
F&D Giacomazzi Farms,Other,—,66
O & L Dairy,Other,—,66
Albert Mendes Feedlot,Other,—,66
Laurel Avenue Feedlot (Dairy),Other,—,66
"Souza Farms, Inc",Other,—,66
Bar VP Feedlot,Other,—,65
Modoc Auction Yard,Other,—,65
Mello 3 Llano Oaks Dairy,Dairy,—,65
Mello Farms,Dairy,—,65
Fresno Livestock,Other,—,65
SBS Ag Heifers 52,Other,—,65
SBS Ag Heifers 68,Other,—,65
Hanford Armona Feedlot,Other,—,65
Maria Silveira Dairy,Dairy,—,65
Green Valley Feedlot,Other,—,65
Mid Valley Heifer Ranch,Other,—,65
Bond Road Feedlot,Other,—,64
Sunshine Dairy Heifers,Other,—,63
Kemper Road Ranch,Other,—,63
Narciso Ranch,Other,—,63
DCB Farming LLC,Other,—,63
Homeland Cattle LLC,Other,—,63
Nosecchi Dairy,Dairy,—,63
OK Cattle LLC,Other,—,63
"G. Simoes Dairy, Inc.",Other,—,63
Rivas Dairy,Dairy,—,62
ED SOUZA & SON DAIRY,Dairy,—,62
Nick Beglinger Dairy,Dairy,—,61
Drakes View Dairy LLC,Dairy,—,61
J—S Jiminez Dairy,Dairy,—,61
L K Ranches Dairy,Dairy,—,61
Frank Chaves & Sons Dairy #2,Dairy,—,60
Eugenio Azevedo Dairy,Other,—,60
CSUF Dairy,Dairy,—,59
Gordon Dairy #4,Other,—,59
Legacy Ranch Dairy #1,Other,—,59
Gonsalves Ranch,Other,—,59
Doug Ielmorini Dairy,Dairy,—,59
Renner Ranches — Fortuna (Alton),Dairy,—,59
Falloncrest Farms,Other,—,59
Five H Farms #2,Other,—,59
Carlos Estacio & Sons Dairy,Dairy,—,58
Gillian's Dairy,Dairy,—,58
Toste Dairy,Dairy,—,58
JJ's Family Dairy,Dairy,—,58
Deniz Dairy,Dairy,Manure management,57
P & D Dairy South,Dairy,—,57
Mattos Brothers Dairy #2,Other,—,57
Antonio Azevedo Heifer Ranch,Other,—,56
Cotta Dairy,Other,—,56
DeSimas & Bairos Dairy,Other,—,56
Double B Feedlot #2,Other,—,56
Amaral Dairy,Dairy,—,55
Jim Vieira and Son Dairy #2,Dairy,—,55
Brazil Dairy #1 (Mike Brazil Dairy),Dairy,—,55
Pearson and Coupe Dairy,Dairy,—,54
Four Star #4 Dairy,Other,—,54
Double M Dairy LLC,Dairy,—,54
Antonio Sousa Dairy,Other,—,53
Fagundes Feedlot,Other,—,53
King Avenue Feedlot,Other,—,53
MILL OAK FARMS (FEEDLOT),Other,—,53
Martins Farm Heifer Ranch,Other,—,53
Crane Villa Heifers,Other,—,53
Archibald Ranch,Other,—,53
Sevilla Cattle,Other,—,53
Furtado Dairy #1,Dairy,—,52
Richard Hughes Dairy,Dairy,—,52
John & Dan Vierra Dairy,Dairy,—,52
CMA Livestock #2,Dairy,—,51
Brodt Dairy West,Dairy,—,51
"Clarot Farms, Inc.",Other,—,51
Double 8 Dairy (Di Bufala Dairy),Dairy,—,51
Michael A. Boynton Dairy,Dairy,—,51
Silva Dairy Farms #3B,Other,Manure management,50
Martins View Jersey Dairy #2,Other,—,50
W & J Dairy,Other,—,50
Olivas Ranch,Other,—,50
Tulare County Stockyard,Other,—,50
Dotti Brothers Dairy,Dairy,—,50
Double M Family Farms LLC,Other,—,50
Duarte—Acres Holsteins,Other,—,50
Garcia & Sons Dairy,Dairy,—,50
Tierra Buena Heifer Ranch,Other,—,50
Jim Riebli Dairy,Dairy,—,50
Manuel Leal & Son Heifer Ranch,Other,—,50
Massaro (H—1),Other,—,50
Silva Brothers Dairy #2,Dairy,—,50
Germann Bros Dairy,Dairy,—,49
Machado Dairy Farms #4,Other,—,48
Leo Martin Dairy,Dairy,—,48
Azevedo Ranch,Other,—,46
Azevedo Farms,Other,—,46
Green Acres Heifer Ranch,Other,—,46
Jack Dei Dairy,Dairy,—,46
Kroes Family Limited Partnership Dairy,Other,—,46
OK Cattle — Schaefer,Other,—,46
UC Desert Research and Extension Center,Other,—,46
Zephyr Dairy,Other,—,45
Vitor Borba Heifers,Other,—,44
Luis C Nunes and Sons Dairy #1,Other,—,44
Bassett Heifer Ranch,Other,—,43
Manuel B Toste,Other,—,43
Radelfinger Dairy,Dairy,—,43
Excelsior Avenue Feedlot,Other,—,43
Van Groningen & Sons,Other,—,43
"Gioletti, Inc. Feedlot",Other,—,42
Justin Sandahl Dairy,Dairy,—,42
Ghidinelli Dairy,Dairy,—,41
Double J Feedlot,Other,—,41
Skiff Ranch,Dairy,—,41
Warnerville Ranch,Dairy,—,41
American Beef Packers,Other,—,40
Vida Boa Heifers,Other,—,40
Machado Dairy #2,Other,—,40
Manuel A Silveira Dairy,Other,—,40
Fontes Heifer Ranch,Other,—,40
Thomas Dairy,Other,—,40
Bar E Heifer Ranch,Other,—,39
Nick & Amber Buttke Dairy,Dairy,—,39
Ornellas Dairy #2,Dairy,—,39
S & D Feedlot,Other,—,39
Collenberg Dairy,Dairy,—,38
Melo Ranch,Other,—,38
"Modesto Livestock Commission Co, Inc.",Other,—,38
Holgersen Dairy (Holgieville Jerseys),Dairy,—,38
Sarvinski Dairy,Dairy,—,38
Manuel A Soares Dairy,Other,—,38
Willow Creek Jerseys,Dairy,—,38
Batista Family Farm LLC,Dairy,—,37
Nunes Heifers,Other,—,37
Headquarters Ranch,Other,—,36
Bob Fumasi Dairy,Dairy,—,36
Cunha Dairy #1,Other,—,36
Azevedo Heifer Ranch,Other,—,36
Morais Dairies,Dairy,—,36
UC Davis Animal Science Dairy,Dairy,Manure management,35
LaBrucherie Bros LLC — Schaefer,Dairy,—,35
Mendes Heifer Ranch,Other,—,35
Charles D. Martin Dairy,Dairy,—,34
R & J McClelland Dairy,Dairy,—,34
Cal Farm House,Dairy,—,34
Sited Oak Dairy,Dairy,—,34
Da Silva LP Brennan Road,Other,—,33
Martin Ranch,Other,—,33
Mattos Dairy #4,Other,—,33
P & D Dairy North,Other,—,33
Triple M Jerseys,Dairy,—,33
Frank Pires Heifers,Other,—,33
Art Silva Heifer Feedlot,Other,—,33
VIP Cattle,Other,—,33
Joe Soares,Other,—,33
Gary Zysling Feedlot,Other,—,33
Headquarters Ranch 2,Other,—,32
Soderstrom Farms Feedlot,Other,—,32
Triple Creek Jerseys,Dairy,—,32
Midnight Farms,Other,—,31
P.M.B. Dairy,Other,—,31
Clark Feedlot,Other,—,30
JL Fragoso Cattle Company,Other,—,30
Michael Mcree South Dairy,Other,—,30
Mission Livestock (Former Greenwood Dairy),Other,—,30
Joe Meirinho Heifer Ranch,Other,—,30
Log Haven Dairy,Other,—,30
Art Venegas Dairy — Euclid,Dairy,—,30
