facility_name,facility_address,project_id_number,reporting_cycle_name,agency_name,program_name,program_description,sub_program_name,record_type,project_name,project_type,project_description,census_tract,project_address,senate_district,assembly_district,project_county,total_project_cost,total_program_ggrf_funding,project_life_years,total_project_ghg_reductions,date_operational,project_completion_date,funding_recipient,annual_project_ghg_reductions
Gerben Leyendekker Dairy #1,"8517 Avenue 360, Visalia, CA 93291",19-0834-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Gerben Leyendekker Dairy Biogas,New Dairy Digester,"Gerben Leyendekker Dairy joins the North Visalia dairy biogas to fuel cluster in Tulare County, CA.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor (shared with both the Art Leyendekker and GP Dairy neighboring digester projects) will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line extension connecting to centralized biogas upgrading and interconnection facility.   Biomethane, meeting SoCalGas Rule 30, will be injected into the co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"8517 Ave 360, Visalia, CA 93291",16,33,Tulare,3748357,845589,10,85419,2021-11-30,2021-11-30,-,8541.9
Dykstra Dairy,"6801 Avenue 176, Tulare, CA 93274",18-0362-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Dykstra Dairy Biogas,new dairy digester,"Dykstra Dairy, a dairy operation located in Tulare, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor and meter station will deliver biogas via a biogas gathering line to the centralized ""Tipton Dairy Cluster"" shared upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the biomethane pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"6801 Ave 176 , Tulare , CA 93274",16,33,Tulare,5696457,2260454,10,265936,2020-09-30,2020-09-30,-,26593.6
Elkhorn Dairy,"10400 Avenue 368, Visalia, CA 93291",19-0832-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Elkhorn Dairy Biogas,New Dairy Digester,"Elkhorn Dairy is part of the established North Visalia dairy biogas to fuel cluster in Tulare County, CA.  The dairy will install a Tier 1 designed manure only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line extension connecting to centralized biogas upgrading and interconnection facility.   Biomethane, meeting SoCalGas Rule 30, will be injected into the co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"10400 Avenue 368, Dinuba, CA 93618",16,33,Tulare,6645917,2125882,10,211940,2021-11-30,2021-11-30,-,21194
MC Moo Farms Dairy,"11663 Buena Vista Avenue, Bakersfield, CA 93311",19-0845-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,McMoo Farms Dairy Biogas,New Dairy Digester,"McMoo Farms joins the Kern dairy biogas to fuel cluster near Bakersfield, CA.  The dairy will install a Tier 1 designed manure only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station, shared with the neighboring dairy, will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading facility and interconnection located at BV Dairy.   Biomethane, meeting SoCalGas Rule 30, will be injected into the co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"11663 Buena Vista Rd, Bakersfield, CA 93311",12,32,Kern,3920532,1598893,10,164384,2021-11-30,2021-11-30,-,16438.4
De Boer Dairy,"14976 Avenue 168, Tulare, CA 93274",19-0829-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,De Boer Dairy Digester Pipeline Project,New Dairy Digester,"De Boer Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure at De Boer Dairy in Tulare County, California. The project is owned by Calgren Dairy Fuels and will be a part of the Calgren Dairy Fuels (CDF) Cluster, developed by Maas Energy Works. This Cluster is operational, producing biogas from five digesters and injecting renewable natural gas into the SoCalGas pipeline. CDF has started physical construction on all 6 of its DDRDP awards received in 2018 and all are scheduled to be online in 2019. The biogas from this new digester will be transported via the Cluster's private, low-pressure pipeline to the cluster's hub near the Calgren ethanol refinery. Once there, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the SoCalGas pipeline for delivery to contracted CNG fueling stations around the Central Valley and the state.",,"14976 Ave 168, Tulare, CA 93274",16,33,Tulare,3650523,1825261,10,191647,2021-11-30,2021-11-30,-,19164.7
Aukeman Farms Dairy,"17297 Road 96, Tulare, CA 93274",18-0361-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Aukeman Dairy Biogas,new dairy digester,"Aukeman Farms Dairy, a dairy operation located in Tulare CA will build a Tier 1 designed manure only covered lagoon digester with enhanced gas storage, gas pre-treatment and effluent distribution. The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor and meter station will deliver biogas via a biogas gathering line to the centralized ""Tipton Dairy Biogas Cluster"" shared upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the biomethane pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"17297 Rd 96, Tulare, CA 93274",16,33,Tulare,4998508,1765457,10,207701,2020-09-30,2020-09-30,-,20770.1
J R Dairy,"13202 Road 104, Tipton, CA 93272",20-1022-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,JR Dairy Digester Project,WASTE DIVERSION AND UTILIZATION,"JR Dairy Digester Project is a new covered lagoon digester at JR Dairy in Tulare County, California. The project is owned by Calgren Dairy Fuels and will be a part of the Calgren Dairy Fuels Cluster. This cluster is operational, producing biogas from 10 connected digesters and injecting renewable natural gas into the SoCalGas pipeline. The biogas from this new digester will be transported via the cluster's private, low-pressure pipeline to the gas upgrading hub. Once there, it will fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the biogas will be injected into the SoCalGas pipeline for delivery to contracted CNG fueling stations in the Central Valley and the state. The project is developed by Maas Energy Works. Making use of 43.5% of DDRDP awards, this project team has completed 81% (13 of the 16) of all operational CDFA-funded digester projects, and 100% (10 out of 10) of all operational CDFA-funded vehicle fuel projects.",,"13202 Road 104, Tipton, California 93272",16,33,Tulare,3173859,1300000,10,191049,2023-01-31,2023-01-31,-,19104.9
J & D Wilson & Sons Dairy,"11720 West Mt. Whitney Avenue, Riverdale, CA 93656",20-1029-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Wilson Dairy Digester Project,WASTE DIVERSION AND UTILIZATION,"Wilson Dairy Digester Project is a new covered lagoon digester at J&D Wilson and Sons Dairy in Fresno County, California. The project is owned by Wilson Dairy Biogas LLC and will be a part of the Five Points Pipeline Cluster. This cluster is under development and will deliver biogas to the PG&E pipeline. The biogas from this new digester will be transported via the cluster's private, low-pressure pipeline to the gas upgrading hub. Once there, it will fuel partner and public trucks at an on-site CNG fueling station. The remainder of the biogas will be injected into the PG&E pipeline for delivery to contracted CNG fueling stations in the Central Valley and the state. The project is developed by Maas Energy Works. Making use of 43.5% of DDRDP awards, this project team has completed 81% (13 of the 16) of all operational CDFA-funded digester projects, and 100% (10 out of 10) of all operational CDFA-funded vehicle fuel projects.",,"11720 West Mount Whitney Avenue, Riverdale, California 93656",14,31,Fresno,3709120,1400000,10,206745,2023-01-31,2023-01-31,-,20674.5
Curtimade Dairy,"18337 Road 24, Tulare, CA 93274",19-0839-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Curtimade Dairy Biogas,New Dairy Digester,"Curtimade Dairy joins the South Tulare dairy biogas to fuel cluster.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading facility.  Biomethane, meeting SoCalGas Rule 30, will be injected into co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"18337 Rd 24, Tulare, CA 93274",16,33,Tulare,4773194,1747336,10,174734,2021-11-30,2021-11-30,-,17473.4
S & S Dairy,"5311 Ave 272, Visalia, CA 93277",17-0498-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,S&S Dairy Biogas,new dairy digester,"S&S Dairy in Visalia, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications A gas compressor lifts the gas pressure to Socal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"5311 Avenue 272, Visalia, CA  93277",12,33,Tulare,6687926,1600000,10,167417,2020-03-31,2020-03-31,-,16741.7
James Jongsma Dairy,"9229 Road 164, Pixley, CA 93256",19-0900-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,James Jongsma Dairy,Solid Separation with Open Solar Drying,"Increase separation with the addition of a ValMetal US Farms Systems Double Curved and Sloped Screen Mechanical Separator with fixed stacking conveyor belt, which will work simultaneously with our existing separator that isn't sufficient to handle our herd size and operation. Also included is a concrete sand trap to remove sand from entering the separators and increase the life expectancy of the systems, a concrete pad for improved open solar drying and the purchase of two manure/fertilizer trucks to allow for in house manure management, open solar drying, and reduced bedding purchases. This will help reduce heavy equipment traffic, as the proposed activities will occur onsite without the need for contracted equipment traveling from outside sources.",,"9229 Road 164, Pixley, CA 93256",16,33,Tulare,727508,727508,5,2719,2020-11-30,2020-11-30,-,543.8
Hettinga Farms Dairy,"13400 Avenue 120, Pixley, CA 93256",19-0831-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Hettinga Centralized Dairy Digester Pipeline Project,New Dairy Digester,"Hettinga Centralized Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure at Hettinga Dairy in Tulare County, California. The project is owned by Calgren Dairy Fuels and will be a part of the Calgren Dairy Fuels (CDF) Cluster, developed by Maas Energy Works. This Cluster is operational, producing biogas from five digesters and injecting renewable natural gas into the SoCalGas pipeline. CDF has started physical construction on all 6 of its DDRDP awards received in 2018 and all are scheduled to be online in 2019. The biogas from this new digester will be transported via the Cluster's private, low-pressure pipeline to the cluster's hub near the Calgren ethanol refinery. Once there, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the SoCalGas pipeline for delivery to contracted CNG fueling stations around the Central Valley and the state.",,"13400 Ave 120, Pixley, CA 93256",16,33,Tulare,4705818,2352909,10,167339,2021-11-30,2021-11-30,-,16733.9
Friesian Farms Dairy,"5593 Avenue 176, Tulare, CA 93274",19-0833-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Friesian Farms Dairy Biogas,New Dairy Digester,"Friesian Farms Dairy joins the South Tulare dairy biogas to fuel cluster.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading facility.  Biomethane, meeting SoCalGas Rule 30, will be injected into co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"5593 Ave 176, Tulare, CA 93274",16,33,Tulare,3814785,639602,10,63145,2021-11-30,2021-11-30,-,6314.5
Double D Dairy,"2207 Roberts Road, Ceres, CA 95307",18-0446-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Double D Dairy Digester Pipeline Project,new dairy digester,"Double D Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Stanislaus County, California. The project is a part of the Aemetis Cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near at the Aemetis ethanol refinery. Once at the hub, most of the biogas will be used to fuel partner trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be used on site to fuel boilers at the Aemetis ethanol refinery to make very low carbon vehicle fuel. The project can begin generating greenhouse gas reductions very quickly since it does not require utility pipeline interconnection during this first phase.",,"2207 Roberts Rd, Ceres, CA 95307",04,22,Stanislaus,3645336,1822668,10,189850,2020-04-30,2020-04-30,-,18985
Vista Verde Dairy,"8923 Bliss Road, Chowchilla, CA 93610",18-0384-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Vista Verde Dairy Digester Pipeline Project,new dairy digester,"Vista Verde Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Merced County, California--opening up digester development in California's second largest dairy county. The project is owned by Vista Verde Dairy Biogas LLC and is a part of the Merced-South cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub at the center of the dairy group. Once at the hub, the biogas will be used to fuel partner and public trucks at a new compressed natural gas fueling station. The remainder of the gas will be injected into the PG&E utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"8923 S Bliss Rd, Chowchilla, CA 93610",14,27,Merced,3188217,1594109,10,140653,2020-03-01,2020-03-01,-,14065.3
"Philip Verwey Dairy, Inc.","12852 Road 9, Madera, CA 93637",DDD15002,2015,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Verwey-Madera Dairy Digester,New dairy digester facility,The Verwey-Madera Dairy Digester project is a new covered lagoon digester to be installed at Philip Verwey Farms #1. The biogas from the digester will be used to produce approx. 4.8 million kWh renewable electricity per year.,,"12852 Rd. 9, Madera CA 93637",14,27,Madera,4563845,2281091,10,240000,2017-06-30,2017-06-30,-,24000
FM Jerseys Dairy,"16301 Road 124, Tipton, CA 93272",18-0386-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,FM Jerseys Dairy Digester Virtual Pipeline Project,new dairy digester,"FM Jerseys Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Tulare County, California. The project is a part of the Calgren Dairy Fuels Cluster, developed by Maas Energy Works. FM Jerseys (located on the opposite of the highway and railroad tracks) will greatly expand the reach of this cluster by delivering gas via virtual pipeline--rapidly growing the geographic area served by the state's first dairy fuels cluster. The methane-rich biogas from the digester will be hauled using clean-burning renewable CNG-fueled trucks and compressed natural gas tube trailers to create a virtual pipeline to the cluster's central hub at the Calgren ethanol refinery. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"16301 Rd 124, Tipton, CA 93272",16,33,Tulare,4021494,2010747,10,161960,2019-10-01,2019-10-01,-,16196
Vierra Ranch Dairy,"23160 Williams Avenue, Hilmar, CA 95324",18-0474-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Vierra Dairy Farms (BioLynk),Solid Separation and Composting,"This project entails a Bio-Lynk Solid Separator System and the infrastructure to operate. Within this system there are: 4 rotary(barrel)separator screens, 2 primary stage and 2 secondary stage, numerous pumps to move material, an agitation pit, 3 flush tanks, a sand lane and a manure stacking area. We are asking the AMMP for grant funding to aid in construction of the system.  Having the Bio-Lynk system is essential to our continued operation. Primarily it will decrease the Volatile Solids that are accumulating in our lagoon and settling ponds creating Methane Producing Compounds. Additionally we will see a dramatic increase in the quality of bedding material which is of huge importance to animal health welfare. We anticipate an overall increase in the electric consumption of the dairy BUT we also foresee a substantial decrease in the diesel fuel usage due to reduction in heavy equipment that is currently required.",,"23160 Williams Ave, Hilmar, CA 95324",04,22,Merced,1402750,750000,5,19772,2020-03-31,2020-03-31,-,3954.4
Seifert Dairy Farm,"8505 East Collier Road, Acampo, CA 95220",19-0926-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Seifert Dairy LP,Solid Separation with Solid Storage,"Installing a U.S. Farm Systems sloped screen separator system. Digging and cementing an octagon shaped agitation pit, this includes all necessary transfer pipelines to move the waste water to and from the separators. Forming and pouring concrete pads around the separator and for adjacent separated manure storage.",,"8505 East Collier Road, Acampo, CA 95220",05,09,San Joaquin,783994,743994,5,14671,2020-07-31,2020-07-31,-,2934.2
Moonlight Dairy,"5061 Avenue 280, Visalia, CA 93277",17-0502-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Moonlight Dairy Biogas,new dairy digester,"Moonlight Dairy in Visalia, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications A gas compressor lifts the gas pressure to Socal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"5061 Avenue 280, Visalia, CA 93277",12,33,Tulare,6355146,1500000,10,154834,2020-03-31,2020-03-31,-,15483.4
Decade Dairy,"3313 Avenue 256, Tulare, CA 93274",18-0349-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Decade Centralized Dairy Digester Pipeline Project,new dairy digester,"The Decade Centralized Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure from two dairies in Tulare County, California. The project is 100% farmer owned by the host dairymen Eric and Clarinda Westra & Richard and Donna Westra. The project is a part of the Hanford-Lakeside Pipeline cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near River Ranch. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"3313 Ave 256 , Tulare , CA 93274",16,33,Tulare,3547174,1773587,10,192558,2020-01-01,2020-01-01,-,19255.8
Robert Vander Eyk Dairy,"9441 Avenue 104, Pixley, CA 93256",17-0503-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,R Vander Eyk Dairy Digester Fuel Pipeline Project,new dairy digester,"The Robert Vander Eyk Dairy Digester Fuel Pipeline Project is a covered lagoon anaerobic digester processing manure in Tulare County. The project is owned by Calgren Dairy Fuels, which will construct it at no cost to the dairy and will make guaranteed payments to the dairy. The project is part of the Calgren Dairy Fuels Cluster. The methane-rich biogas from the digester will be supplied via private pipeline to fuel two 5MW gas turbines that power the Calgren ethanol refinery—creating low carbon transportation fuels.  The project will offset existing natural gas use and will result in a net decrease in NOx and criteria pollutants. The cluster will install a RCNG station and later connect to the utility pipeline to supply more RCNG stations.",,"9441 Ave 104
Pixley, CA 93256                              (Google: 9993 Road 80, Pixley, CA 93256)",16,33,Tulare,2498381,1e+06,10,132586,2019-01-30,2019-01-30,-,13258.6
Red Rock Dairy,"5020 South Hwy 59, Merced, CA 95340",18-0382-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Red Rock Dairy Digester Pipeline Project,new dairy digester,"Red Rock Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Merced County, California--opening up digester development in California's second largest dairy county. The project is owned by Red Rock Dairy Biogas LLC and is a part of the Merced-South cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub at the center of the dairy group. Once at the hub, the biogas will be used to fuel partner and public trucks at a new compressed natural gas fueling station. The remainder of the gas will be injected into the PG&E utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"5020 CA-59, Merced, CA 95341",14,27,Merced,4062252,2031126,10,156242,2020-01-01,2020-01-01,-,15624.2
Circle A Dairy,"11275 Road 96, Pixley, CA 93256",17-0504-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Circle A Dairy Digester Fuel Pipeline Project,new dairy digester,"The Circle A Dairy Digester Fuel Pipeline Project is a covered lagoon anaerobic digester processing manure in Tulare County. The project is owned by Calgren Dairy Fuels, which will construct it at no cost to the dairy and will make guaranteed payments to the dairy. The project is part of the Calgren Dairy Fuels Cluster. The methane-rich biogas from the digester will be supplied via private pipeline to fuel two 5MW gas turbines that power the Calgren ethanol refinery—creating low carbon transportation fuels.  The project will offset existing natural gas use and will result in a net decrease in NOx and criteria pollutants. The cluster will install a RCNG station and later connect to the utility pipeline to supply more RCNG stations.",,"11275 Road 96 Pixley, CA 93256",16,33,Tulare,2351228,1050000,10,138745,2018-08-31,2018-08-31,-,13874.5
